DIRECCIÓN,BARRIO,"COORDENADAS
MAGNA-SIRGAS COLOMBIA
ORIGEN BOGOTÁ",,TIPO,DIÁMETRO HIDRANTE
,,X,Y,,
CRA 19 # 102-52 ,Fontana,1.105.980,1.275.505,Tipo Tráfico,4''
CRA 25 # 18-17,San Francisco,1.105.624,1.280.398,Tipo Tráfico,4''
CL 46 # 39-88,Cabecera del Llano,1.107.285,1.279.051,Tipo Tráfico,4''
CL 41 # 24-45,Bólivar,1.106.051,1.278.974,Tipo Tráfico,4''
CL 19 # 31-45,San Alonso,1.106.200,1.280.453,Tipo Tráfico,4''
AV LOS BUCAROS # 3-155,Ciudadela Real de Minas,1.104.990,1.277.426,Tipo Tráfico,4''
AV LOS BUCAROS # 3-308,Ciudadela Real de Minas,1.105.074,1.277.412,Tipo Tráfico,4''
CL 34 # 29-27,Mejoras Públicas,1.106.314,1.279.664,Tipo Tráfico,4''
CRA 15 # 104B-69 ,Delicias,1.105.521,1.275.097,Tipo Tráfico,4''
CRA 20#24,Alarcón,1.105.251,1.279.844,Tipo Tráfico,4''
CL 14 # 25-44,San Francisco,1.105.588,1.280.813,Tipo Milán,3''
CL 19 # 24-28,San Francisco,1.105.545,1.280.301,Tipo Tráfico,4''
CRA 23 # 24-09,Alarcón,1.105.536,1.279.942,Tipo Tráfico,4''
CL 36 # 35-13,El Prado,1.106.798,1.279.696,Tipo Milán,3''
CL 13 # 25-31,Universidad,1.105.558,1.280.876,Tipo Milán,3''
CL 34 # 28-37,Mejoras Públicas,1.106.235,1.279.605,Tipo Tráfico,4''
CRA 24 # 10-44,Mutualidad,1.105.383,1.281.076,Tipo Tráfico,4''
CL 53 # 47A-13,Terrazas,1.107.463,1.278.366,Tipo Tráfico,4''
CL 21 # 29-43,San Alonso,1.106.070,1.280.231,Tipo Tráfico,4''
CRA 24 # 17-29 ,San Francisco,1.105.512,1.280.466,Tipo Tráfico,4''
CL 14 # 16-15,Modelo,1.104.738,1.280.645,Tipo Tráfico,4''
CL 48 # 18-54 ,La Concordia,1.105.766,1.278.487,Tipo Tráfico,4''
CL 71 # 54-55 LAG CACIQUE,Lagos del Cacique,1.108.136,1.277.565,Tipo Tráfico,4''
CL 106 # 25-49,Provenza,1.106.897,1.275.472,Tipo Tráfico,4''
VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,Río de Oro I,1.102.271,1.281.586,Tipo Tráfico,4''
VIA PALENQUE-CAFE Z.INDUST.II SECTOR FORJANDES,Río de Oro I,1.102.297,1.281.668,Tipo Tráfico,4''
VIA PALENQUE-CAFE CRA 8 # 15N- 10 BODEGA 11,N/A,1.102.385,1.281.835,Tipo Tráfico,4''
CRA 8 # 20N-148,No aplica - Bucaramanga,1.102.380,1.281.978,Tipo Tráfico,4''
CRA 8 # 20 -148,Café Madrid,1.102.368,1.282.171,Tipo Tráfico,4''
CIRCUN 35 # 92-170 ,El Tejar,1.107.283,1.276.862,Tipo Tráfico,6''
CRA 33 # 85-136/ 150,San Martin,1.106.990,1.276.848,Tipo Tráfico,4''
CRA 23 # 48-17 ,Nuevo Sotomayor,1.106.099,1.278.610,Tipo Tráfico,4''
CL  45#0-150,Campo Hermoso,1.104.067,1.277.906,Tipo Tráfico,6''
CL 20 # 32-15,San Alonso,1.106.295,1.280.376,Tipo Tráfico,6''
CRA 23 # 51-46,La Concordia,1.106.165,1.278.417,Tipo Tráfico,4''
CRA 28 # 40-37,Mejoras Públicas,1.106.376,1.279.273,Tipo Tráfico,4''
CRA 25 # 18-65,San Francisco,1.105.631,1.280.355,Tipo Tráfico,4''
GRANJA 8,Granjas de Provenza,1.105.902,1.274.825,Tipo Tráfico,4''
CL 30 # 23-70 ,Antonia Santos centro,1.105.636,1.279.785,Tipo Tráfico,4''
CRA 38 # 41-36,Cabecera del Llano,1.107.057,1.279.500,Tipo Tráfico,4''
CL 91 # 22-68,Diamante II,1.106.499,1.275.871,Tipo Tráfico,4''
CL 42 # 28-72,Mejoras Públicas,1.106.508,1.279.229,Tipo Tráfico,4''
CRA 34 # 32-65,Alvarez las Américas,1.106.759,1.280.039,Tipo Tráfico,4''
CL 16 # 23-26,San Francisco,1.105.429,1.280.578,Tipo Tráfico,4''
CL 105 # 15B-29,Delicias,1.105.669,1.275.120,Tipo Tráfico,4''
CRA 29 # 33-08,Mejoras Públicas,1.106.229,1.279.725,Tipo Tráfico,4''
CRA 10-BETANIA SECTOR D-PEATONAL 1-CASA 14,Villas de San Ignacio,1.103.451,1.282.857,Tipo Tráfico,4''
COLSEG NORTE BL 18,Colseguros Norte,1.104.323,1.282.196,Tipo Tráfico,4''
CL 7N # 11-33 MIRAMAR,Miramar,1.104.475,1.282.145,Tipo Milán,3''
CRA 10 # 9N-23,Minuto de Dios,1.104.362,1.282.268,Tipo Milán,3''
CL 28N # 11-02,Altos del Kennedy,1.103.875,1.283.283,Tipo Piso,2''
CRA 11 # 13BN-18,Omaga I,1.104.209,1.282.539,Tipo Piso,2''
CRA 5 # 15N-04,Maria Paz,1.103.785,1.282.356,Tipo Milán,3''
CL 17N # 10-07,Kennedy,1.104.053,1.282.732,Tipo Tráfico,4''
CRA 17 # 16-11,Altos del Progreso,1.104.331,1.282.803,Tipo Milán,3''
CL 104K # 5A-58,El Porvenir,1.104.297,1.274.661,Tipo Milán,3''
DG 11A # 27N-02,Altos del Kennedy,1.103.936,1.283.209,Tipo Milán,3''
CRA 12 # 28N-44,Omaga II,1.103.976,1.283.334,Tipo Milán,3''
CL 55B # 29-47,Bolarqui,1.106.678,1.278.124,Tipo Tráfico,4''
CRA 39 # 48-67 ,Cabecera del Llano,1.107.224,1.278.807,Tipo Tráfico,4''
CRA 39A # 42-106,Cabecera del Llano,1.107.203,1.279.297,Tipo Tráfico,4''
CL 51 # 38-14,Cabecera del Llano,1.107.176,1.278.676,Tipo Tráfico,4''
CRA 39 # 48-110 ,Cabecera del Llano,1.107.224,1.278.783,Tipo Tráfico,4''
CRA 49 # 64-65,La Floresta,1.107.497,1.277.712,Tipo Piso,2''
CRA 38 # 41-108,Cabecera del Llano,1.107.034,1.279.442,Tipo Tráfico,4''
CRA 39A # 44-209 ,Cabecera del Llano,1.107.239,1.279.079,Tipo Piso,2''
CL 44 # 36-30 T 1 ,Cabecera del Llano,1.107.009,1.279.245,Tipo Milán,3''
CRA 39 # 48-06 ,Cabecera del Llano,1.107.182,1.278.880,Tipo Tráfico,4''
CL 32 # 34-27 ,Quinta Brigada,1.106.804,1.280.112,Tipo Tráfico,4''
CRA 47#3OCC,Campo Hermoso,1.103.860,1.277.533,Tipo Milán,3''
CRA 12A OCC#44,1 de Mayo,1.103.225,1.277.328,Tipo Milán,3''
CL 42#8-46,Alfonso López,1.104.580,1.278.594,Tipo Tráfico,4''
CRA 9#43-75,Garcia Rovira,1.104.686,1.278.453,Tipo Tráfico,4''
CRA 17#46-169,La Concordia,1.105.537,1.278.519,Tipo Milán,3''
CRA 13#51,San Miguel,1.104.997,1.277.950,Tipo Milán,3''
CL  45 N 8-81,Garcia Rovira,1.104.782,1.278.407,Tipo Milán,3''
CRA 4 #37-24,La Joya,1.104.027,1.278.615,Tipo Tráfico,3''
CL 41#1,La Joya,1.104.036,1.278.275,Tipo Milán,3''
CL 37#2A,La Joya,1.103.937,1.278.455,Tipo Milán,3''
CRA 10#43-58,Garcia Rovira,1.104.756,1.278.510,Tipo Milán,3''
CL 51#12 ,Candiles,1.104.788,1.277.842,Tipo Tráfico,4''
CRA1#46 ESQUINA ,Campo Hermoso,1.104.134,1.277.835,Tipo Milán,3''
CL 46 # 5-04,Chorreras de Don Juan,1.104.430,1.278.117,Tipo Piso,2''
CL  46#10 OCC-87,Campo Hermoso,1.103.886,1.277.661,Tipo Milán,3''
CRA 10O #49,Campo Hermoso,1.103.638,1.277.260,Tipo Milán,3''
